gene,ctrl_1,ctrl_2,ctrl_3,trt_1,trt_2,trt_3
GENE0735,29,44,83,34,43,58
GENE0736,821,911,974,603,1224,1707
GENE0737,677,1911,1731,1011,2173,2575
GENE0738,473,1711,3079,1009,660,1373
GENE0739,2485,3332,2516,963,2187,3066
GENE0740,2,2,6,1,6,3
GENE0741,80,76,168,61,154,88
GENE0742,210,209,306,161,257,334
GENE0743,77,303,177,81,185,131
GENE0744,207,214,303,238,590,204
GENE0745,578,868,1561,1063,1488,2087
GENE0746,157,180,141,53,121,138
GENE0747,34,139,147,45,210,121
GENE0748,941,1763,1358,1162,2261,1308
GENE0749,128,96,204,67,108,397
GENE0750,378,1072,1535,552,1059,1278
GENE0751,803,614,679,611,607,853
GENE0752,239,425,801,217,608,373
GENE0753,9,19,21,9,12,8
GENE0754,70,55,205,106,104,131
GENE0755,1173,1186,922,479,1296,1070
GENE0756,1284,1157,1744,481,2799,1665
GENE0757,2106,2250,2837,942,2953,4132
GENE0758,148,152,103,167,209,324
GENE0759,3710,8223,9638,4889,6638,8095
GENE0760,221,370,369,183,408,712
GENE0761,54,101,120,25,118,126
GENE0762,712,1111,966,895,1268,1077
GENE0763,39,67,47,36,89,57
GENE0764,414,263,324,268,559,493
GENE0765,832,1169,1732,611,1402,1695
GENE0766,201,154,156,280,391,577
GENE0767,36,87,64,147,395,374
GENE0768,572,1235,2457,1047,1797,1848
GENE0769,17,13,22,15,6,22
GENE0770,1692,2690,2273,2029,2013,4047
GENE0771,371,1042,1356,443,774,952
GENE0772,15,18,42,27,51,24
GENE0773,85,162,178,27,123,113
GENE0774,439,1412,1191,656,932,1630
GENE0775,59,136,266,74,358,358
GENE0776,60,48,18,21,10,83
GENE0777,881,1237,866,421,1365,1155
GENE0778,170,106,134,214,324,738
GENE0779,148,220,296,344,363,404
GENE0780,7,31,10,5,6,40
GENE0781,1487,2880,2537,2190,3804,2487
GENE0782,143,120,322,118,393,286
GENE0783,6,3,10,5,11,28
GENE0784,10,5,55,7,11,17
GENE0785,53,136,67,72,120,214
GENE0786,1377,1055,1209,391,1091,1628
GENE0787,1236,1357,2625,1218,1669,2121
GENE0788,4,22,66,5,14,30
GENE0789,18,31,68,17,28,62
GENE0790,523,402,589,478,870,557
GENE0791,171,258,200,222,79,397
GENE0792,159,189,443,249,321,347
GENE0793,1181,2292,2439,1145,1376,1464
GENE0794,105,179,440,104,132,203
GENE0795,112,252,133,66,154,183
GENE0796,139,183,405,297,335,149
GENE0797,494,308,301,289,672,441
GENE0798,1477,1911,2475,1423,2262,2338
GENE0799,52,15,107,49,228,85
GENE0800,189,293,505,220,490,462
GENE0801,156,108,202,119,183,143
GENE0802,389,554,480,215,869,689
GENE0803,1043,1100,1169,531,1456,1108
GENE0804,2373,3539,2879,1514,3664,4353
GENE0805,2,22,28,24,37,17
GENE0806,149,446,247,213,121,307
GENE0807,797,1466,1386,1640,1801,2161
GENE0808,29,15,22,22,49,19
GENE0809,147,336,245,152,209,278
GENE0810,50,47,103,72,67,191
GENE0811,479,646,1043,449,558,469
GENE0812,781,1093,1523,408,1276,1130
GENE0813,27,26,61,53,34,23
GENE0814,22,123,64,20,60,105
GENE0815,4,5,31,14,7,53
GENE0816,161,109,128,31,139,196
GENE0817,221,178,228,107,122,144
GENE0818,501,770,1019,496,1071,1870
GENE0819,133,138,125,220,132,307
GENE0820,35,48,139,55,71,60
GENE0821,137,140,216,70,192,392
GENE0822,47,68,72,131,58,84
GENE0823,12,31,38,34,29,33
GENE0824,916,1679,2134,223,662,585
GENE0825,40,37,83,19,45,38
GENE0826,22,28,76,30,81,29
GENE0827,87,186,99,81,82,150
GENE0828,39,16,80,32,42,63
GENE0829,1280,1933,3169,1411,3167,2345
GENE0830,128,166,224,149,404,229
GENE0831,791,1266,895,673,1208,1692
GENE0832,19,36,49,26,82,87
GENE0833,273,204,422,386,1348,1076
GENE0834,1403,2469,1953,1794,1673,2121
GENE0835,42,23,160,87,104,78
GENE0836,573,794,872,657,758,1459
GENE0837,74,234,180,186,151,215
GENE0838,276,354,696,283,315,515
GENE0839,127,97,178,87,207,173
GENE0840,115,131,97,59,240,93
GENE0841,111,89,109,146,207,306
GENE0842,59,89,14,115,106,116
GENE0843,2,11,13,10,15,15
GENE0844,27,39,73,58,129,78
GENE0845,216,208,592,192,291,292
GENE0846,77,196,89,75,114,133
GENE0847,1812,907,1865,1067,1095,1561
GENE0848,476,770,787,504,1091,1319
GENE0849,555,777,1326,467,1133,1577
GENE0850,8,12,7,2,12,6
GENE0851,286,353,351,166,257,456
GENE0852,898,1691,1831,1200,2017,1588
GENE0853,135,191,213,120,250,438
GENE0854,35,101,68,27,113,116
GENE0855,2515,3137,6502,1876,4619,2981
GENE0856,11,10,13,2,13,17
GENE0857,703,2359,1815,1499,1542,1947
GENE0858,176,340,566,99,381,295
GENE0859,83,109,190,98,328,78
GENE0860,1308,1966,2275,832,940,2758
GENE0861,48,13,8,23,13,17
GENE0862,686,1533,545,773,1123,1226
GENE0863,70,106,102,96,89,285
GENE0864,23,61,51,37,54,128
GENE0865,359,244,498,223,536,585
GENE0866,15,82,97,45,14,13
GENE0867,40,43,20,31,29,39
GENE0868,194,442,428,299,529,829
GENE0869,170,271,136,56,108,201
GENE0870,289,378,556,230,436,217
GENE0871,58,165,158,48,76,132
GENE0872,28,67,199,119,98,187
GENE0873,123,111,195,97,228,158
GENE0874,144,168,89,129,209,352
GENE0875,40,221,160,45,131,103
GENE0876,9,36,45,2,11,6
GENE0877,74,109,132,24,78,191
GENE0878,35,71,85,17,51,24
GENE0879,464,539,539,309,305,1318
GENE0880,55,151,155,129,224,147
GENE0881,1092,1901,1844,1195,1996,3032
GENE0882,26,35,41,12,31,17
GENE0883,56,92,95,120,60,115
GENE0884,107,91,60,47,45,95
GENE0885,329,349,190,223,270,415
GENE0886,388,563,617,386,537,681
GENE0887,82,112,280,65,124,280
GENE0888,575,647,720,402,841,732
GENE0889,29,94,134,32,41,32
GENE0890,34,52,40,21,23,37
GENE0891,276,207,455,105,163,262
GENE0892,16,42,31,33,32,56
GENE0893,129,213,230,65,265,250
GENE0894,10768,11957,14791,4757,11401,6913
GENE0895,164,164,180,135,143,242
GENE0896,489,415,1168,372,1204,1795
GENE0897,36,69,120,72,216,63
GENE0898,918,2247,3186,1668,1526,2529
GENE0899,86,146,153,11,169,307
GENE0900,212,500,644,172,141,278
GENE0901,26,49,57,72,226,108
GENE0902,180,105,143,117,170,271
GENE0903,820,1695,1481,269,2525,1587
GENE0904,75,90,104,24,80,179
GENE0905,1108,817,1009,607,556,1780
GENE0906,899,844,731,951,457,948
GENE0907,27,75,53,47,19,27
GENE0908,427,989,371,292,549,948
GENE0909,225,806,515,444,335,459
GENE0910,24,23,22,2,25,6
GENE0911,11,22,47,16,41,4
GENE0912,289,780,830,318,985,684
GENE0913,43,33,84,63,37,95
GENE0914,2551,1451,3214,1411,6857,5378
GENE0915,1004,752,801,363,891,1041
GENE0916,126,195,303,106,192,286
GENE0917,235,98,248,102,173,192
GENE0918,8,11,23,11,13,8
GENE0919,99,86,109,128,136,197
GENE0920,135,192,182,186,168,121
GENE0921,43,130,131,125,69,27
GENE0922,0,0,0,0,0,0
GENE0923,2086,1710,3116,1821,3193,2016
GENE0924,15,35,10,21,24,42
GENE0925,129,224,142,44,44,71
GENE0926,46,47,41,48,101,44
GENE0927,378,1449,973,837,570,884
GENE0928,265,301,937,296,516,673
GENE0929,248,315,302,221,333,289
GENE0930,171,774,512,315,699,601
GENE0931,12,14,68,19,15,46
GENE0932,288,254,235,179,405,356
GENE0933,337,119,527,103,267,237
GENE0934,295,346,579,174,658,310
GENE0935,105,343,407,184,217,433
GENE0936,29,38,40,7,50,149
GENE0937,43,107,67,23,13,151
GENE0938,181,434,682,168,309,469
GENE0939,171,302,513,291,457,572
GENE0940,511,1150,1127,401,802,998
GENE0941,11,7,6,22,8,12
GENE0942,635,729,604,276,1327,875
GENE0943,11,65,67,52,43,98
GENE0944,52,41,153,150,187,54
GENE0945,4495,4356,3645,1252,3132,5191
GENE0946,862,894,1881,978,1499,944
GENE0947,293,224,672,269,561,465
GENE0948,315,742,493,132,563,533
GENE0949,1381,1699,2963,5057,9299,12591
GENE0950,101,139,216,42,55,108
GENE0951,44,55,48,18,68,177
GENE0952,145,238,268,197,506,378
GENE0953,21,44,31,11,20,37
GENE0954,630,1096,1049,600,897,2075
GENE0955,66,120,91,47,92,91
GENE0956,69,62,98,108,130,243
GENE0957,15,34,57,16,27,22
GENE0958,21,47,63,26,18,82
GENE0959,196,420,484,304,394,499
GENE0960,1901,2894,1931,1068,1564,2941
GENE0961,4,1,24,5,3,11
GENE0962,29,49,95,61,84,57
GENE0963,31,60,35,17,62,8
GENE0964,511,525,1496,569,1428,1581
GENE0965,1362,5550,4349,1643,3278,3431
GENE0966,1705,1999,2027,1015,2214,1908
GENE0967,141,548,751,105,347,715
GENE0968,158,254,312,96,185,330
GENE0969,6,35,32,4,10,7
GENE0970,162,186,273,94,177,205
GENE0971,203,237,263,245,254,651
GENE0972,87,89,73,82,70,94
GENE0973,1383,1961,1299,905,1258,1123
GENE0974,119,340,100,73,267,353
GENE0975,149,122,242,115,121,184
GENE0976,849,1362,1142,355,1100,741
GENE0977,7,21,11,15,10,49
GENE0978,54,220,150,105,138,248
GENE0979,108,278,228,212,351,441
GENE0980,16,56,6,0,8,10
GENE0981,121,186,218,73,286,273
GENE0982,2268,5320,3967,2830,2913,9290
GENE0983,362,502,695,468,818,400
GENE0984,27,64,66,53,71,66
GENE0985,34,160,157,39,67,160
GENE0986,221,487,550,291,372,300
GENE0987,5,10,28,1,13,2
GENE0988,35,33,57,14,42,76
GENE0989,793,1613,1335,392,1089,2492
GENE0990,137,92,243,78,185,322
GENE0991,21,27,53,25,69,33
GENE0992,1969,3369,1831,1923,2283,2998
GENE0993,12,91,8,24,25,25
GENE0994,75,129,158,104,116,161
GENE0995,64,80,103,89,148,169
GENE0996,154,176,249,38,206,167
GENE0997,1838,2036,3535,2234,5844,9171
GENE0998,548,1140,2687,1535,1886,1709
GENE0999,82,161,128,174,227,582
GENE1000,10,0,27,4,21,7
GENE1001,204,401,519,215,386,358
GENE1002,338,481,828,265,607,752
GENE1003,239,361,746,105,150,291
GENE1004,52,102,347,149,337,114
GENE1005,69,154,59,56,118,216
GENE1006,411,406,832,250,451,810
GENE1007,59,105,121,63,103,48
GENE1008,161,119,463,87,274,353
GENE1009,1546,3163,4979,3242,3224,4716
GENE1010,96,738,374,340,301,560
GENE1011,94,729,435,179,446,820
GENE1012,57,62,76,27,18,120
GENE1013,89,85,33,63,78,189
GENE1014,177,94,213,86,242,174
GENE1015,15,86,55,25,26,48
GENE1016,49,102,146,41,225,74
GENE1017,63,346,450,160,287,341
GENE1018,234,219,539,338,193,535
GENE1019,54,98,142,35,29,116
GENE1020,8,7,14,2,20,10
GENE1021,38,41,32,17,62,61
GENE1022,31,37,56,53,67,17
GENE1023,7,8,12,2,21,36
GENE1024,455,484,349,650,329,617
GENE1025,67,62,35,40,140,38
GENE1026,58,85,84,95,77,97
GENE1027,321,874,362,535,530,877
GENE1028,435,429,449,174,412,657
GENE1029,42,19,97,33,55,116
GENE1030,186,450,405,269,327,223
GENE1031,373,484,804,366,544,445
GENE1032,46,74,69,46,90,128
GENE1033,29,58,44,30,37,43
GENE1034,84,74,64,24,34,122
GENE1035,74,132,257,650,469,739
GENE1036,160,404,537,95,91,126
GENE1037,6,2,5,2,12,3
GENE1038,298,579,384,523,445,1197
GENE1039,54,187,80,35,139,83
GENE1040,126,120,328,36,30,76
GENE1041,1216,826,1321,735,2511,2197
GENE1042,2308,4939,5836,3049,3230,2417
GENE1043,15,8,17,7,0,41
GENE1044,7,5,3,0,2,8
GENE1045,1173,1515,2036,1301,1885,2573
GENE1046,743,824,1490,610,615,1203
GENE1047,39,59,110,61,109,85
GENE1048,3943,4310,3559,3694,3798,5233
GENE1049,141,266,190,89,280,200
GENE1050,20,1,14,4,31,8
GENE1051,32,212,262,51,134,177
GENE1052,700,679,601,509,1494,829
GENE1053,2487,4351,4640,1402,2651,4745
GENE1054,57,48,45,18,45,109
GENE1055,160,222,194,176,150,380
GENE1056,97,98,227,99,139,123
GENE1057,8,16,15,9,17,14
GENE1058,4855,8151,12451,4499,14310,16255
GENE1059,93,176,218,98,209,200
GENE1060,105,130,127,62,59,62
GENE1061,811,1559,1753,1408,1329,1697
GENE1062,8,26,25,12,54,25
GENE1063,50,52,125,39,72,17
GENE1064,188,408,551,313,1256,428
GENE1065,1173,819,1591,584,1500,1853
GENE1066,7,14,19,0,14,1
GENE1067,67,77,277,81,97,186
GENE1068,394,308,543,361,1001,592
GENE1069,75,28,75,28,73,44
GENE1070,1482,3513,4078,1015,3258,2929
GENE1071,310,671,405,244,827,857
GENE1072,830,1780,1926,1167,1358,2094
GENE1073,2,4,3,3,10,29
GENE1074,262,294,235,281,401,955
GENE1075,346,305,841,197,459,722
GENE1076,18,20,32,52,44,70
GENE1077,28,31,10,28,61,111
GENE1078,73,79,51,20,140,53
GENE1079,232,240,153,203,285,383
GENE1080,6,13,3,14,6,12
GENE1081,130,365,249,403,529,866
GENE1082,51,110,196,41,152,245
GENE1083,15,56,100,21,71,63
GENE1084,362,429,702,881,201,856
GENE1085,137,166,107,89,168,241
GENE1086,8,29,41,20,33,42
GENE1087,22,35,107,55,30,28
GENE1088,858,765,883,580,1218,1919
GENE1089,3,4,10,4,27,27
GENE1090,17,39,42,10,15,50
GENE1091,20,80,207,42,154,64
GENE1092,268,294,285,160,433,392
GENE1093,263,577,360,137,267,469
GENE1094,430,720,1111,376,739,717
GENE1095,5072,5901,6781,4101,5076,7166
GENE1096,718,1229,1021,1025,1513,2258
GENE1097,384,205,490,49,154,172
GENE1098,43,76,104,63,61,105
GENE1099,107,157,368,215,228,236
GENE1100,94,235,132,108,254,133
GENE1101,999,2251,1379,822,1373,2241
GENE1102,29,29,15,19,27,26
GENE1103,159,334,268,183,302,588
GENE1104,96,197,174,122,164,220
GENE1105,379,930,1638,423,752,958
GENE1106,131,228,304,342,316,347
GENE1107,163,141,156,36,249,238
GENE1108,78,154,129,98,90,92
GENE1109,1243,1687,1372,747,1375,1187
GENE1110,43,142,66,48,52,95
GENE1111,19,8,17,8,26,26
GENE1112,30,78,155,64,57,34
GENE1113,1172,576,1180,916,1465,1571
GENE1114,782,1178,1245,669,1594,1253
GENE1115,88,96,237,66,269,307
GENE1116,251,120,389,162,295,276
GENE1117,289,462,450,217,836,817
GENE1118,19,21,46,24,8,15
GENE1119,15,13,33,7,28,20
GENE1120,86,226,134,94,257,148
GENE1121,5101,9707,10402,3905,4585,5611
GENE1122,380,248,635,374,720,376
GENE1123,68,85,153,37,92,186
GENE1124,383,901,800,377,629,446
GENE1125,306,287,436,125,369,542
GENE1126,1095,653,1533,670,1919,2196
GENE1127,117,58,30,136,172,97
GENE1128,385,421,664,305,326,435
GENE1129,321,636,1490,560,601,1529
GENE1130,3,15,15,11,5,7
GENE1131,62,124,46,96,57,201
GENE1132,965,1459,2121,2573,4041,4673
GENE1133,128,166,290,21,118,129
GENE1134,26546,29654,33913,22775,32798,61301
GENE1135,3,2,1,1,0,0
GENE1136,392,161,254,124,268,237
GENE1137,65,130,229,149,567,207
GENE1138,315,651,404,204,351,829
GENE1139,132,300,700,172,523,990
GENE1140,1,25,5,20,27,23
GENE1141,223,305,533,356,1012,1308
GENE1142,55,158,133,56,117,244
GENE1143,87,187,454,59,148,102
GENE1144,746,1336,785,654,762,1187
GENE1145,55,116,149,68,93,91
GENE1146,466,1115,1129,461,550,866
GENE1147,29,141,124,92,70,188
GENE1148,86,134,82,114,141,99
GENE1149,776,1263,1433,494,1497,1103
GENE1150,212,515,217,169,129,293
GENE1151,34,33,30,32,120,67
GENE1152,13,96,56,29,21,60
GENE1153,338,898,1321,172,925,572
GENE1154,20,39,71,30,31,16
GENE1155,78,53,75,41,73,225
GENE1156,76,120,164,95,148,137
GENE1157,159,118,258,134,312,186
GENE1158,31,56,125,51,32,83
GENE1159,3,11,42,10,16,33
GENE1160,192,217,191,191,320,319
GENE1161,238,143,302,227,172,439
GENE1162,71,57,85,42,118,357
GENE1163,381,1134,1695,552,1210,909
GENE1164,28,20,38,12,21,35
GENE1165,609,1263,848,937,1005,2068
GENE1166,898,772,1406,777,1697,1659
GENE1167,165,104,170,118,82,386
GENE1168,1403,2652,4034,1468,1934,3060
GENE1169,27,36,86,64,121,107
GENE1170,145,292,304,98,327,357
GENE1171,390,334,298,155,360,818
GENE1172,432,450,270,113,425,838
GENE1173,2548,3092,3063,1374,1666,2148
GENE1174,91,202,173,62,507,213
GENE1175,34,69,80,64,75,51
GENE1176,17,24,24,6,11,71
GENE1177,383,433,1068,331,671,1118
GENE1178,29,42,37,50,111,86
GENE1179,26,113,52,47,175,74
GENE1180,197,629,330,174,350,591
GENE1181,41,200,220,95,184,285
GENE1182,58,60,156,51,109,55
GENE1183,320,560,676,386,619,347
GENE1184,637,1513,1864,1113,1848,1509
GENE1185,21,25,58,29,61,95
GENE1186,292,578,509,456,354,665
GENE1187,340,390,299,159,392,280
GENE1188,19,8,20,9,31,17
GENE1189,43,88,123,15,19,73
GENE1190,134,90,227,119,181,280
GENE1191,148,210,297,59,288,202
GENE1192,288,370,578,97,304,452
GENE1193,180,209,553,252,437,547
GENE1194,134,351,450,345,300,386
GENE1195,12,25,18,19,26,54
GENE1196,30,27,15,17,34,35
GENE1197,7546,7497,6467,6924,15201,14043
GENE1198,345,1364,1202,595,824,1493
GENE1199,332,508,603,205,788,711
GENE1200,229,227,459,271,438,316
GENE1201,82,141,149,54,154,253
GENE1202,1572,2090,1163,297,221,625
GENE1203,230,315,199,152,220,143
GENE1204,119,496,310,98,318,278
GENE1205,287,450,495,353,788,862
GENE1206,653,1280,1243,556,1523,1389
GENE1207,61,221,139,15,40,61
GENE1208,2406,5198,2929,3165,3708,3696
GENE1209,21,20,4,6,7,4
GENE1210,22,47,43,25,49,80
GENE1211,1577,1160,2459,924,949,1657
GENE1212,54,91,87,94,123,46
GENE1213,27,55,64,21,89,44
GENE1214,149,91,115,136,100,181
GENE1215,90,167,97,74,114,204
GENE1216,5,0,3,3,2,2
GENE1217,262,625,726,378,843,677
GENE1218,26,19,50,23,31,62
GENE1219,41,83,180,44,109,130
GENE1220,1164,950,3153,1151,1157,1453
GENE1221,18,18,24,15,52,36
GENE1222,915,800,694,614,2106,1497
GENE1223,599,1303,750,318,406,703
GENE1224,92,48,68,75,114,56
GENE1225,55,108,121,38,125,250
GENE1226,49,53,29,13,38,5
GENE1227,88,243,161,84,317,304
GENE1228,21,46,52,26,6,50
GENE1229,44,31,32,59,131,68
GENE1230,117,341,398,189,282,447
GENE1231,73,117,157,75,144,193
GENE1232,163,332,389,278,605,334
GENE1233,4930,3459,4420,3472,6750,6269
GENE1234,136,156,260,109,327,143
GENE1235,178,679,455,399,552,650
GENE1236,1604,1281,3125,967,2208,2428
GENE1237,866,1698,2417,690,1247,1706
GENE1238,9,22,46,13,17,65
GENE1239,1,2,17,1,2,10
GENE1240,48,35,80,11,37,109
GENE1241,2764,2487,2661,1837,2372,5449
GENE1242,91,141,253,124,47,185
GENE1243,1027,1508,842,1416,1089,1072
GENE1244,35,47,63,37,63,85
GENE1245,9,2,20,7,8,7
GENE1246,7,5,7,3,15,3
GENE1247,45,34,51,40,19,37
GENE1248,32,69,72,35,93,111
GENE1249,64,105,229,112,235,209
GENE1250,270,592,628,305,541,1275
GENE1251,85,82,122,71,91,68
GENE1252,33,33,60,55,30,79
GENE1253,129,219,478,22,34,34
GENE1254,48,171,148,33,294,320
GENE1255,291,656,1094,275,875,1024
GENE1256,7,11,7,1,15,7
GENE1257,39,66,85,21,74,27
GENE1258,120,127,124,97,233,196
GENE1259,0,6,19,1,16,2
GENE1260,113,177,305,83,417,282
GENE1261,169,267,195,93,80,89
GENE1262,75,32,285,73,76,122
GENE1263,27,95,231,55,111,93
GENE1264,133,181,297,109,208,315
GENE1265,289,495,223,197,601,299
GENE1266,282,731,574,359,312,883
GENE1267,5,20,30,12,38,97
GENE1268,3939,7175,10593,5269,7018,13026
GENE1269,64,114,27,21,57,33
GENE1270,72,112,163,95,71,190
GENE1271,338,521,591,246,526,688
GENE1272,1438,4653,5589,2788,5434,4759
GENE1273,46,96,79,47,93,68
GENE1274,545,772,918,659,1175,1400
GENE1275,31,83,54,51,60,184
GENE1276,1315,2091,3309,2273,3145,2671
GENE1277,5,94,22,12,48,55
GENE1278,22,79,75,56,99,56
GENE1279,82,164,258,57,75,103
GENE1280,18,27,27,16,60,33
GENE1281,21,37,66,28,34,21
GENE1282,107,230,246,176,304,126
GENE1283,428,411,415,155,432,364
GENE1284,31,93,119,30,46,90
GENE1285,74,208,173,213,72,328
GENE1286,190,404,823,546,237,643
GENE1287,73,74,115,155,228,139
GENE1288,128,190,298,165,174,202
GENE1289,19,18,14,6,17,14
GENE1290,231,378,413,217,171,557
GENE1291,8,56,13,6,39,45
GENE1292,51,34,110,63,96,78
GENE1293,16,65,46,12,86,112
GENE1294,16,75,38,30,38,85
GENE1295,29,22,23,16,37,31
GENE1296,358,397,969,609,461,385
GENE1297,1,0,23,10,30,7
GENE1298,11,95,98,32,41,65
GENE1299,76,202,100,44,88,137
GENE1300,103,127,327,129,289,351
GENE1301,548,334,682,455,664,523
GENE1302,445,947,623,564,779,1259
GENE1303,46,92,8,22,61,90
GENE1304,78,261,247,155,158,148
GENE1305,58,105,87,49,38,140
GENE1306,155,83,131,68,107,81
GENE1307,317,418,260,82,317,342
GENE1308,128,58,51,103,45,49
GENE1309,5,12,16,16,5,25
GENE1310,232,121,171,114,245,310
GENE1311,0,7,12,0,4,2
GENE1312,1070,1201,1542,693,946,1504
GENE1313,367,565,672,368,531,700
GENE1314,106,142,238,94,167,135
GENE1315,17,52,109,41,166,37
GENE1316,39,114,235,112,126,85
GENE1317,222,340,285,289,446,840
GENE1318,877,1157,1558,954,1078,1398
GENE1319,246,108,570,175,393,543
GENE1320,36,14,14,16,15,30
GENE1321,2201,1791,1375,1449,3019,3439
GENE1322,118,57,71,82,175,50
GENE1323,1038,2035,1669,592,1353,2106
GENE1324,181,262,220,133,165,295
GENE1325,728,1547,2250,1527,1213,1427
GENE1326,552,377,1270,494,963,627
GENE1327,419,844,778,320,682,703
GENE1328,522,719,1121,363,716,997
GENE1329,200,460,410,148,366,336
GENE1330,298,435,361,235,521,419
GENE1331,5559,5515,11211,3145,9529,11593
GENE1332,13,13,25,9,18,13
GENE1333,167,266,143,113,182,386
GENE1334,146,106,119,67,243,140
GENE1335,76,289,417,185,356,554
GENE1336,56,47,198,60,114,171
GENE1337,7,8,34,51,39,20
GENE1338,35,79,53,54,86,76
GENE1339,311,1018,713,331,1362,990
GENE1340,40,32,154,45,128,49
GENE1341,18,54,51,23,61,22
GENE1342,456,1442,1899,834,707,1987
GENE1343,282,228,512,313,190,295
GENE1344,5,8,10,4,6,18
GENE1345,50,86,54,34,62,160
GENE1346,56,159,293,33,144,214
GENE1347,38,19,18,13,7,77
GENE1348,18,16,30,7,33,11
GENE1349,50,88,174,95,185,187
GENE1350,205,562,523,289,300,270
GENE1351,18,9,11,32,7,7
GENE1352,23,186,98,98,156,130
GENE1353,404,308,351,292,603,511
GENE1354,13,2,8,3,13,18
GENE1355,8,4,6,1,4,9
GENE1356,116,230,120,67,149,201
GENE1357,2286,3288,2559,2103,2284,5277
GENE1358,162,107,86,99,217,285
GENE1359,77,81,254,94,104,156
GENE1360,111,130,232,59,107,66
GENE1361,7,15,24,9,15,31
GENE1362,456,547,669,349,430,455
GENE1363,113,135,211,62,424,224
GENE1364,304,245,302,216,238,427
GENE1365,583,554,562,260,499,825
GENE1366,15,117,47,7,50,19
GENE1367,34,52,35,33,94,70
GENE1368,243,91,290,63,54,216
GENE1369,142,136,226,69,223,150
GENE1370,265,614,536,304,543,652
GENE1371,24,64,132,26,27,33
GENE1372,572,392,895,524,874,1118
GENE1373,114,168,189,104,165,392
GENE1374,145,243,100,117,263,222
GENE1375,159,261,263,134,231,194
GENE1376,47,122,157,56,172,222
GENE1377,43,217,146,65,77,458
GENE1378,571,1657,1004,405,1027,1189
GENE1379,62,86,79,20,83,192
GENE1380,485,637,1791,774,1869,1010
GENE1381,31,65,41,23,38,79
GENE1382,12,18,44,6,48,49
GENE1383,48,71,64,16,85,78
GENE1384,32,53,49,36,69,85
GENE1385,245,216,226,186,137,284
GENE1386,87,290,258,181,177,309
GENE1387,11,74,35,35,40,78
GENE1388,639,1112,1368,451,1226,1602
GENE1389,23,63,68,82,27,15
GENE1390,559,2391,1509,894,1656,1771
GENE1391,457,894,578,509,1044,1055
GENE1392,3,1,2,8,5,10
GENE1393,42,110,79,22,75,76
GENE1394,474,423,636,483,762,1089
GENE1395,82,54,167,64,55,73
GENE1396,91,359,289,116,206,450
GENE1397,154,143,501,104,272,327
GENE1398,450,862,1258,585,1084,850
GENE1399,1132,2068,697,793,1180,1282
GENE1400,11,16,27,2,29,2
GENE1401,110,77,171,127,81,134
GENE1402,175,202,202,652,1717,1963
GENE1403,28,35,134,49,81,69
GENE1404,9,3,4,1,6,2
GENE1405,29,20,49,11,35,50
GENE1406,762,1255,1134,546,1194,1818
GENE1407,111,158,135,68,115,159
GENE1408,33,9,79,16,27,23
GENE1409,919,530,911,248,408,738
GENE1410,183,682,834,202,415,813
GENE1411,10,68,127,30,66,55
GENE1412,222,622,533,354,778,1934
GENE1413,157,148,203,141,235,350
GENE1414,170,77,282,196,197,255
GENE1415,35,59,30,8,58,39
GENE1416,26,9,52,23,3,32
GENE1417,535,982,657,329,775,1747
GENE1418,2,13,6,0,3,2
GENE1419,134,431,489,90,442,457
GENE1420,359,809,998,488,853,1450
GENE1421,12,99,95,106,45,111
GENE1422,35,10,26,4,14,30
GENE1423,55,24,118,36,60,28
GENE1424,10,29,43,3,14,37
GENE1425,27,39,67,6,47,75
GENE1426,187,325,302,145,154,157
GENE1427,1327,1024,905,772,842,1788
GENE1428,40,76,51,75,67,118
GENE1429,55,101,107,29,95,44
GENE1430,4,31,12,3,4,40
GENE1431,111,213,266,103,185,207
GENE1432,250,426,946,251,479,727
GENE1433,10,16,29,5,21,30
GENE1434,3422,2886,7835,3779,5279,7554
GENE1435,662,741,317,540,442,1571
GENE1436,6327,11708,8833,7402,6905,5648
GENE1437,54,190,68,49,122,92
GENE1438,1337,2256,3607,1749,1614,2642
GENE1439,958,671,1099,675,1228,1495
GENE1440,233,402,664,334,486,476
GENE1441,163,299,179,183,337,437
GENE1442,24,24,58,35,13,37
GENE1443,1093,1605,907,335,1684,680
GENE1444,33,36,166,25,66,79
GENE1445,1520,3167,1930,1137,2268,1712
GENE1446,10,83,12,11,12,26
GENE1447,139,285,196,122,408,409
GENE1448,268,256,178,29,308,316
GENE1449,10,16,47,2,59,73
GENE1450,231,390,572,255,384,696
GENE1451,1932,3683,2476,1961,5051,4502
GENE1452,866,469,1074,406,1303,1028
GENE1453,428,561,1012,659,633,1422
GENE1454,185,142,183,50,169,119
GENE1455,17,39,32,21,197,113
GENE1456,78,23,75,30,150,47
GENE1457,38,202,138,102,84,192
GENE1458,443,559,736,417,971,657
GENE1459,1301,1392,2220,903,1555,1546
GENE1460,43,82,26,16,41,18
GENE1461,25,25,96,29,31,99
GENE1462,211,276,226,244,210,230
GENE1463,557,815,922,230,871,1051
GENE1464,49,146,100,39,64,46
GENE1465,112,196,174,181,168,216
GENE1466,803,1260,1427,1046,1152,1964
GENE1467,6,33,4,2,5,10
GENE1468,33,39,103,55,114,151
GENE1469,9,27,12,16,28,42
GENE1470,76,16,4,37,68,101
GENE1471,1808,1943,4203,2024,3339,3769
