gene,mean_expression,log2_fold_change,p_value,adjusted_p_value,called
GENE1529,1178.0358,-0.1593,0.226589,0.930954,False
GENE0449,105.1467,0.7397,0.227476,0.93265,False
GENE0877,90.0901,-0.8101,0.22905,0.933096,False
GENE1219,86.6455,-0.3147,0.229141,0.933096,False
GENE0191,2902.1270,-0.4362,0.229246,0.933096,False
GENE0304,53.8139,1.0718,0.230581,0.933096,False
GENE1455,60.2391,1.1239,0.230601,0.933096,False
GENE1929,569.5628,0.1555,0.230937,0.933096,False
GENE0083,325.9087,0.5492,0.231366,0.933096,False
GENE0785,101.3632,0.6854,0.231377,0.933096,False
GENE1128,411.4064,-0.4242,0.232429,0.934888,False
GENE1789,208.6624,-0.8713,0.232898,0.934888,False
GENE0363,200.7952,-0.7333,0.233247,0.934888,False
GENE0249,315.1056,0.8775,0.234457,0.93695,False
GENE1257,48.9414,-0.8917,0.234714,0.93695,False
GENE0753,12.5513,-0.5801,0.236776,0.941447,False
GENE1231,116.3345,0.0761,0.236797,0.941447,False
GENE0788,19.4189,-1.0654,0.237554,0.942551,False
GENE0397,481.5408,-0.5509,0.239097,0.94575,False
GENE1557,356.1694,-0.4690,0.240279,0.94575,False
GENE1123,92.2445,-0.4423,0.240521,0.94575,False
GENE1393,61.7114,-0.6493,0.241235,0.94575,False
GENE0967,370.9163,-0.8115,0.241459,0.94575,False
GENE1397,224.0380,-0.4449,0.241793,0.94575,False
GENE1945,266.6648,-0.5427,0.242838,0.94575,False
GENE1109,1242.7407,-0.3445,0.242915,0.94575,False
GENE1168,2240.5743,-0.3775,0.242974,0.94575,False
GENE0464,207.0581,0.4844,0.244966,0.94575,False
GENE1131,94.3979,0.8463,0.245066,0.94575,False
GENE0335,1066.4364,0.5113,0.245256,0.94575,False
GENE1645,63.1262,-1.2385,0.245269,0.94575,False
GENE0324,123.4231,-0.7652,0.245805,0.94575,False
GENE0971,289.1762,0.5763,0.246814,0.94575,False
GENE1400,13.3301,-1.7525,0.247196,0.94575,False
GENE1075,432.5798,-0.4491,0.247465,0.94575,False
GENE1090,25.7235,-0.7683,0.247796,0.94575,False
GENE1048,4094.8214,0.2674,0.24783,0.94575,False
GENE0695,39.7399,1.1734,0.248413,0.94575,False
GENE1271,449.6095,-0.1879,0.24994,0.94575,False
GENE1367,49.9856,0.6009,0.250107,0.94575,False
GENE1496,250.4504,-0.5016,0.250172,0.94575,False
GENE0470,30.1810,1.4715,0.25091,0.94575,False
GENE1711,1249.4382,-0.5117,0.251051,0.94575,False
GENE1984,261.9031,0.5620,0.251063,0.94575,False
GENE1264,189.6917,-0.1769,0.251395,0.94575,False
GENE0376,1043.3780,-0.3894,0.251816,0.94575,False
GENE0380,270.9725,0.4143,0.252707,0.94729,False
GENE0478,498.5397,-0.6704,0.254651,0.951632,False
GENE0216,74.1671,-0.9689,0.254832,0.951632,False
GENE1925,50.8402,-0.8586,0.256063,0.952077,False
GENE1375,199.1693,-0.2731,0.256199,0.952077,False
GENE1093,322.3513,-0.5801,0.256861,0.952077,False
GENE1479,153.0154,-0.4751,0.257075,0.952077,False
GENE1323,1351.0885,-0.4552,0.258524,0.952077,False
GENE1821,164.1257,0.6300,0.259084,0.952077,False
GENE1850,142.8740,-0.2506,0.259466,0.952077,False
GENE1562,397.6640,0.6755,0.259865,0.952077,False
GENE0093,60.1447,0.7826,0.260015,0.952077,False
GENE0980,15.4461,-2.3232,0.260148,0.952077,False
GENE0473,101.7710,-0.4099,0.260681,0.952077,False
GENE0365,95.2480,0.8021,0.260884,0.952077,False
GENE1412,636.7670,0.7491,0.261241,0.952077,False
GENE1530,41.5861,-0.4399,0.262928,0.954348,False
GENE1119,17.7421,-0.5205,0.264696,0.954348,False
GENE0271,92.4463,0.7068,0.264759,0.954348,False
GENE0012,52.8054,-0.2059,0.264873,0.954348,False
GENE0368,53.0382,-0.7032,0.265432,0.954348,False
GENE0862,957.3679,0.5325,0.265669,0.954348,False
GENE0538,1278.5388,0.6963,0.266609,0.954348,False
GENE1855,6906.4929,0.5703,0.266948,0.954348,False
GENE1388,965.7609,-0.2493,0.267096,0.954348,False
GENE0554,861.9232,0.5331,0.267472,0.954348,False
GENE0869,151.4117,-0.7220,0.267692,0.954348,False
GENE1413,194.0089,0.3750,0.267872,0.954348,False
GENE0061,582.1561,-0.6765,0.268168,0.954348,False
GENE1879,752.2721,-0.2795,0.26933,0.955517,False
GENE1240,47.4601,-0.8999,0.269467,0.955517,False
GENE1947,7.5924,-1.0959,0.270014,0.955733,False
GENE0102,99.8270,-0.9747,0.272303,0.95809,False
GENE0115,479.2958,-0.4343,0.272312,0.95809,False
GENE1006,484.3243,-0.3998,0.272891,0.95809,False
GENE0855,3363.4459,-0.5115,0.272922,0.95809,False
GENE1577,52.2770,-0.9763,0.273325,0.95809,False
GENE1283,358.4086,-0.5650,0.273917,0.95809,False
GENE1149,1020.7789,-0.3955,0.275063,0.95809,False
GENE1646,566.9010,-0.3652,0.276078,0.95809,False
GENE0713,160.6270,-0.5315,0.276725,0.95809,False
GENE0694,28.6055,1.4160,0.277301,0.95809,False
GENE1267,27.6312,0.7828,0.277806,0.95809,False
GENE1700,295.9226,0.4240,0.278034,0.95809,False
GENE0373,279.2773,0.6804,0.278719,0.95809,False
GENE1337,27.5345,1.3643,0.279907,0.95809,False
GENE1208,3468.3323,0.2729,0.280805,0.95809,False
GENE0051,9374.2462,0.4475,0.281141,0.95809,False
GENE0690,1131.2848,-0.5637,0.281239,0.95809,False
GENE0811,588.5458,-0.4833,0.281708,0.95809,False
GENE0036,17.0745,0.6754,0.282486,0.95809,False
GENE1828,89.3001,-0.1288,0.284073,0.95809,False
GENE1249,145.3448,0.3825,0.284838,0.95809,False
GENE0270,64.2110,-0.7591,0.284921,0.95809,False
GENE1164,24.4907,-0.5277,0.284984,0.95809,False
GENE0046,150.0787,-0.6559,0.285187,0.95809,False
GENE0691,2928.7021,0.2608,0.285216,0.95809,False
GENE0214,57.4506,-0.8962,0.285226,0.95809,False
GENE1750,633.4002,-0.6337,0.286621,0.95809,False
GENE0340,36.0621,0.8606,0.287607,0.95809,False
GENE1466,1211.6950,0.2502,0.288278,0.95809,False
GENE1568,336.5028,-0.5843,0.288548,0.95809,False
GENE0429,225.5675,-0.3661,0.289035,0.95809,False
GENE0671,579.3792,0.2296,0.289418,0.95809,False
GENE1546,1258.6950,0.2966,0.289687,0.95809,False
GENE1657,174.4850,-0.4036,0.289714,0.95809,False
GENE0642,58.4755,1.2426,0.291082,0.95809,False
GENE1300,198.6732,0.2503,0.291716,0.95809,False
GENE1780,47.2415,0.6024,0.291931,0.95809,False
GENE0856,10.0910,-0.7711,0.29206,0.95809,False
GENE0992,2357.3164,0.2306,0.292062,0.95809,False
GENE1522,155.2048,-0.4282,0.292544,0.95809,False
GENE1137,205.3200,0.8186,0.292897,0.95809,False
GENE1255,618.8524,-0.2538,0.293193,0.95809,False
GENE0836,805.5436,0.2999,0.294015,0.95809,False
GENE0621,26.2643,0.5618,0.294732,0.95809,False
GENE0130,501.3519,-0.3748,0.295088,0.95809,False
GENE1713,88.8137,-0.4275,0.295807,0.95809,False
GENE1683,173.1887,-0.7936,0.295852,0.95809,False
GENE1540,556.9248,-0.5293,0.295904,0.95809,False
GENE0469,8450.8397,0.2308,0.297274,0.95809,False
GENE1823,358.4698,-0.2934,0.297292,0.95809,False
GENE0955,80.7044,-0.2692,0.298082,0.95809,False
GENE0274,75.1085,-0.9673,0.299831,0.95809,False
GENE0355,114.6735,0.4626,0.300442,0.95809,False
GENE0677,154.8383,-0.9809,0.300616,0.95809,False
GENE1900,49.2381,0.8431,0.301465,0.95809,False
GENE1573,3007.8520,0.3167,0.302676,0.95809,False
GENE1013,86.6312,0.8716,0.302744,0.95809,False
GENE1733,3981.1308,-0.3543,0.303191,0.95809,False
GENE0016,165.1058,-0.3497,0.303309,0.95809,False
GENE1697,53.4554,0.9132,0.303363,0.95809,False
GENE1366,38.5266,-1.3488,0.30351,0.95809,False
GENE0948,425.1064,-0.6741,0.303759,0.95809,False
GENE1738,55.7081,-0.8816,0.304131,0.95809,False
GENE0031,203.8348,-0.3493,0.304356,0.95809,False
GENE0291,44.4423,0.8819,0.304401,0.95809,False
GENE1419,297.8175,-0.5824,0.304571,0.95809,False
GENE0248,45.4300,-0.8591,0.305101,0.95809,False
GENE1673,39.6459,-0.8249,0.305438,0.95809,False
GENE0563,887.1213,-0.4610,0.305864,0.95809,False
GENE0568,90.1907,-0.7848,0.305879,0.95809,False
GENE0136,363.5855,0.4390,0.306109,0.95809,False
GENE0770,2352.9049,0.3121,0.306296,0.95809,False
GENE1856,191.9781,0.6490,0.307535,0.95809,False
GENE1787,1190.5038,-0.2727,0.308654,0.95809,False
GENE0562,376.7185,0.5261,0.308855,0.95809,False
GENE0559,3649.9821,0.3257,0.309408,0.95809,False
GENE1211,1416.3097,-0.5761,0.309609,0.95809,False
GENE1451,3054.9550,0.4348,0.311262,0.95809,False
GENE0614,148.6057,-0.4779,0.313822,0.95809,False
GENE1790,145.2618,0.6292,0.313847,0.95809,False
GENE1368,156.3675,-1.1385,0.313875,0.95809,False
GENE0860,1557.0321,-0.5381,0.314233,0.95809,False
GENE1891,996.0450,0.4666,0.314854,0.95809,False
GENE0945,3546.5208,-0.6535,0.315672,0.95809,False
GENE0731,89.0376,0.4216,0.316727,0.95809,False
GENE0984,55.2972,0.3791,0.31725,0.95809,False
GENE1720,319.6951,-0.5271,0.318244,0.95809,False
GENE0476,1611.9805,-0.4083,0.318502,0.95809,False
GENE1816,1558.0901,0.2915,0.319742,0.95809,False
GENE0752,406.3076,-0.4670,0.319933,0.95809,False
GENE1124,563.9432,-0.4324,0.320477,0.95809,False
GENE0863,114.9143,0.5789,0.320585,0.95809,False
GENE1521,35.3663,0.6837,0.320836,0.95809,False
GENE1569,184.0374,-0.5080,0.320887,0.95809,False
GENE1314,139.4834,-0.3378,0.322599,0.95809,False
GENE0615,145.4065,-0.8170,0.323137,0.95809,False
GENE1358,153.6239,0.7371,0.323361,0.95809,False
GENE0638,5525.1340,0.2592,0.323509,0.95809,False
GENE0487,81.5957,0.7091,0.323732,0.95809,False
GENE0346,31.2996,-1.0252,0.323819,0.95809,False
GENE1226,32.5579,-1.2430,0.323842,0.95809,False
GENE1382,25.1532,-0.3580,0.323873,0.95809,False
GENE1369,149.0891,-0.4699,0.323998,0.95809,False
GENE1765,183.0779,-0.5963,0.324636,0.95809,False
GENE0864,52.8337,0.5172,0.326443,0.95809,False
GENE0583,219.7106,0.4787,0.327217,0.95809,False
GENE0818,856.1712,0.2585,0.327882,0.95809,False
GENE0278,1145.6744,-0.8809,0.327979,0.95809,False
GENE0880,136.2882,0.5445,0.328229,0.95809,False
GENE1625,87.4897,-0.8261,0.328472,0.95809,False
GENE1767,431.8119,0.4844,0.328951,0.95809,False
GENE1001,324.7190,-0.2617,0.328958,0.95809,False
GENE0602,11.0666,0.4053,0.329097,0.95809,False
GENE0675,86.5694,-0.5752,0.329367,0.95809,False
GENE1275,69.2456,0.6575,0.329602,0.95809,False
GENE0789,32.9866,-0.3951,0.330029,0.95809,False
GENE0887,138.1521,-0.3868,0.330243,0.95809,False
GENE0290,47.9948,-0.5841,0.330514,0.95809,False
GENE1332,14.5117,-0.4069,0.33091,0.95809,False
GENE0453,95.7177,-0.2980,0.331683,0.95809,False
GENE0526,178.9976,0.5410,0.331702,0.95809,False
GENE0133,62.7506,0.8839,0.332471,0.95809,False
GENE1008,216.2915,-0.4361,0.332528,0.95809,False
GENE0843,10.1298,0.7292,0.332737,0.95809,False
GENE1307,276.8308,-0.7172,0.332812,0.95809,False
GENE1918,143.2915,-0.6444,0.333011,0.95809,False
GENE1964,34.9083,-0.6159,0.333273,0.95809,False
GENE1781,1418.7158,-0.2940,0.333574,0.95809,False
GENE1612,428.5204,-0.5751,0.334396,0.95809,False
GENE1258,143.1073,0.3996,0.335059,0.95809,False
GENE0514,155.2454,-0.3694,0.335092,0.95809,False
GENE0396,707.0288,-0.5664,0.335285,0.95809,False
GENE0523,2373.5715,0.3277,0.335429,0.95809,False
GENE0653,238.2328,-0.5068,0.335987,0.958294,False
GENE0867,34.8115,0.3312,0.336924,0.95878,False
GENE1791,695.1821,0.5271,0.338129,0.95878,False
GENE0771,748.9262,-0.3898,0.338297,0.95878,False
GENE0899,124.4409,-1.1673,0.338897,0.95878,False
GENE0148,166.4281,-0.5289,0.338924,0.95878,False
GENE1321,2150.7116,0.5708,0.339081,0.95878,False
GENE1729,282.4041,0.3811,0.339642,0.958975,False
GENE0893,174.9278,-0.4067,0.340671,0.958975,False
GENE0156,15.1236,-1.6233,0.340754,0.958975,False
GENE1614,127.9748,-0.2076,0.341648,0.958975,False
GENE1735,124.1450,-0.5014,0.341978,0.958975,False
GENE0078,27.9664,-0.7729,0.342392,0.958975,False
GENE0176,28.9219,0.4757,0.344412,0.958975,False
GENE1221,25.2844,0.4587,0.344618,0.958975,False
GENE0152,43.8590,-0.8422,0.344743,0.958975,False
GENE0658,11.5661,0.9155,0.344783,0.958975,False
GENE0720,15.3780,1.0716,0.344854,0.958975,False
GENE0851,296.3481,-0.3012,0.345048,0.958975,False
GENE1462,237.1289,0.1714,0.345959,0.958975,False
GENE1895,28.5473,-0.8475,0.345972,0.958975,False
GENE1405,29.6053,-0.4764,0.347031,0.96056,False
GENE0988,38.7764,-0.4462,0.34792,0.960756,False
GENE1555,226.4943,0.8639,0.348363,0.960756,False
GENE1125,317.5551,-0.4186,0.348567,0.960756,False
GENE1355,5.1214,-0.8038,0.350807,0.965579,False
GENE0651,104.1885,0.5549,0.351619,0.966462,False
GENE0155,226.8217,0.4327,0.352206,0.966725,False
GENE0106,120.0436,0.6030,0.352801,0.966855,False
GENE1331,7051.1618,-0.2704,0.353236,0.966855,False
GENE1539,79.4000,0.6376,0.354447,0.967583,False
GENE1924,65.8152,-0.3112,0.354583,0.967583,False
GENE0105,1885.2933,0.3806,0.354977,0.967583,False
GENE1499,190.7557,-0.5270,0.356265,0.969749,False
GENE1572,33.2038,0.7521,0.357522,0.970024,False
GENE1603,846.0339,-0.1772,0.358074,0.970024,False
GENE0460,123.7762,-0.6449,0.359271,0.970024,False
GENE0263,128.6253,0.6274,0.360077,0.970024,False
GENE0336,137.8093,-0.8912,0.361314,0.970024,False
GENE1422,19.5473,-1.0206,0.361389,0.970024,False
GENE1928,7789.4519,0.1997,0.361521,0.970024,False
GENE1289,14.5352,-0.5195,0.361533,0.970024,False
GENE1728,300.8150,0.5319,0.361851,0.970024,False
GENE1348,18.1964,-0.7265,0.362134,0.970024,False
GENE1502,64.5002,0.2826,0.362697,0.970024,False
GENE0933,255.4739,-0.8262,0.36445,0.970024,False
GENE0608,1032.4317,0.4157,0.364787,0.970024,False
GENE1222,1049.5124,0.6217,0.365431,0.970024,False
GENE0977,17.0430,0.7908,0.365653,0.970024,False
GENE1046,867.6174,-0.3913,0.365811,0.970024,False
GENE0045,102.1692,-0.5399,0.368153,0.970024,False
GENE0834,1881.2862,0.1315,0.368273,0.970024,False
GENE0853,203.8828,0.2904,0.368296,0.970024,False
GENE0781,2480.1336,0.3638,0.368385,0.970024,False
GENE1449,28.1155,-0.7479,0.368455,0.970024,False
GENE1755,80.6823,0.9060,0.368618,0.970024,False
GENE1731,492.2739,0.6786,0.36962,0.970024,False
GENE0883,90.6438,0.4550,0.370264,0.970024,False
GENE0144,2600.7444,-0.4088,0.370489,0.970024,False
GENE1616,216.5010,-0.2698,0.37116,0.970024,False
GENE1882,144.4996,-0.3770,0.371517,0.970024,False
GENE1600,611.7184,0.3758,0.371649,0.970024,False
GENE0457,123.2792,0.8825,0.372365,0.970024,False
GENE0830,204.5223,0.4187,0.372962,0.970024,False
GENE0519,156.2042,0.1231,0.373211,0.970024,False
GENE0904,82.7302,-0.5907,0.373574,0.970024,False
GENE1630,69.2615,-0.6015,0.373831,0.970024,False
GENE0104,67.9436,0.8160,0.37397,0.970024,False
GENE0783,9.1757,0.6152,0.374079,0.970024,False
GENE1640,117.2910,-0.3749,0.374529,0.970024,False
GENE1996,55.1489,0.6931,0.375446,0.970024,False
GENE1460,37.8844,-0.7082,0.375635,0.970024,False
GENE0281,158.2955,0.2986,0.37684,0.970024,False
GENE1299,100.8481,-0.4902,0.377291,0.970024,False
GENE0219,56.9096,0.4485,0.377598,0.970024,False
GENE1235,455.5349,0.4806,0.378205,0.970024,False
GENE0775,179.0422,0.2592,0.378304,0.970024,False
GENE1785,13.2624,0.9794,0.378414,0.970024,False
GENE1104,153.6913,0.1599,0.378546,0.970024,False
GENE0528,16.4852,-0.8543,0.37921,0.970463,False
GENE1383,55.3991,-0.5595,0.379816,0.97075,False
GENE0850,7.5110,-0.6858,0.38408,0.973847,False
GENE1509,12.5308,-1.0286,0.384703,0.973847,False
GENE1715,360.9089,0.4911,0.384745,0.973847,False
GENE1103,278.6978,0.3430,0.384802,0.973847,False
GENE0786,1080.0874,-0.5570,0.38486,0.973847,False
GENE0123,58.0495,-0.4322,0.385286,0.973847,False
GENE0679,249.7897,-0.5177,0.385411,0.973847,False
GENE0737,1527.7712,0.3242,0.386499,0.973847,False
GENE1020,9.2313,-0.6267,0.386623,0.973847,False
GENE0964,916.6480,0.2547,0.38703,0.973847,False
GENE0486,39.4930,-0.6323,0.387335,0.973847,False
GENE0258,395.0540,-0.3635,0.388078,0.973847,False
GENE1803,5.2767,0.5276,0.388833,0.973847,False
GENE0125,427.3868,0.4228,0.389082,0.973847,False
GENE0111,818.4586,0.3961,0.389086,0.973847,False
GENE0193,29.9135,0.8121,0.389365,0.973847,False
GENE0432,55.4159,0.4993,0.38944,0.973847,False
GENE0028,24.3285,1.6763,0.390027,0.974078,False
GENE1796,194.1772,-0.3446,0.391185,0.974645,False
GENE1956,98.2119,0.8890,0.391799,0.974645,False
GENE0870,340.3915,-0.5026,0.392475,0.974645,False
GENE0707,76.7723,0.7212,0.392657,0.974645,False
GENE1642,460.5650,-0.6512,0.393165,0.974645,False
GENE1210,40.2242,0.2667,0.393226,0.974645,False
GENE1435,687.2152,0.6920,0.394311,0.976106,False
GENE0362,460.4626,-0.5132,0.395045,0.976389,False
GENE0536,994.2952,0.2399,0.395838,0.976389,False
GENE0784,15.3772,-0.8065,0.396691,0.976389,False
GENE1082,113.8732,-0.2583,0.396987,0.976389,False
GENE1485,4888.5234,0.2421,0.397997,0.976389,False
GENE0810,81.3753,0.5305,0.39838,0.976389,False
GENE1889,3419.8047,0.2883,0.399869,0.976389,False
GENE0668,86.6912,-0.6805,0.400013,0.976389,False
GENE1719,229.2761,-0.4583,0.400392,0.976389,False
GENE0972,84.3870,0.2067,0.401072,0.976389,False
GENE0377,1105.7662,-0.2241,0.401737,0.976389,False
GENE0926,54.4647,0.5473,0.401915,0.976389,False
GENE0164,211.3678,0.7456,0.402407,0.976389,False
GENE1688,544.9312,0.5199,0.402566,0.976389,False
GENE0433,246.5720,-0.8680,0.402643,0.976389,False
GENE1740,206.2887,0.1364,0.402724,0.976389,False
GENE1966,199.7642,-0.5127,0.40286,0.976389,False
GENE0182,34.4283,0.5363,0.404343,0.977443,False
GENE0349,261.5985,-0.4373,0.404676,0.977443,False
GENE0837,168.1873,0.4320,0.404925,0.977443,False
GENE0088,88.6215,0.8580,0.405281,0.977443,False
GENE1667,2402.5477,-0.3587,0.40714,0.97845,False
GENE0379,1259.0450,0.3171,0.407723,0.97845,False
GENE1297,10.6768,1.3792,0.408394,0.97845,False
GENE1951,394.3756,0.2983,0.409699,0.97845,False
GENE1374,175.9471,0.4749,0.410819,0.97845,False
GENE1193,332.0156,0.2830,0.411339,0.97845,False
GENE1887,32.7444,0.4889,0.413024,0.97845,False
GENE1653,63.1960,0.8814,0.415909,0.97845,False
GENE1256,7.4177,-0.8303,0.416325,0.97845,False
GENE1475,7617.8957,-0.2869,0.416853,0.97845,False
GENE0517,232.2520,-0.1753,0.417885,0.97845,False
GENE1410,456.7280,-0.4790,0.4179,0.97845,False
GENE1901,142.5577,0.5563,0.418065,0.97845,False
GENE1493,91.7711,-0.5716,0.418512,0.97845,False
GENE1232,331.5489,0.4158,0.419261,0.97845,False
GENE1800,87.0552,-0.4906,0.420566,0.97845,False
GENE0669,355.6510,0.4697,0.420709,0.97845,False
GENE0662,423.5159,0.2467,0.422152,0.97845,False
GENE1806,233.8678,0.3322,0.422186,0.97845,False
GENE1063,57.4424,-0.9001,0.422328,0.97845,False
GENE0020,181.5086,0.6021,0.423547,0.97845,False
GENE0685,303.1676,-0.3575,0.423613,0.97845,False
GENE0064,219.9930,0.5110,0.424406,0.97845,False
GENE1448,212.6507,-0.9866,0.424603,0.97845,False
GENE1236,1804.4452,-0.3160,0.425031,0.97845,False
GENE1248,61.9368,0.2167,0.425207,0.97845,False
GENE0202,297.0369,0.3156,0.425386,0.97845,False
GENE0479,33.1972,0.5256,0.425581,0.97845,False
GENE1820,22.7891,0.9769,0.425683,0.97845,False
GENE1276,2364.7142,0.3159,0.426,0.97845,False
GENE0597,219.8131,0.3691,0.426995,0.97845,False
GENE1203,213.0148,-0.3094,0.427117,0.97845,False
GENE1150,250.4430,-0.3771,0.42759,0.97845,False
GENE0816,121.0521,-0.6712,0.428055,0.97845,False
GENE1758,15.8779,0.3070,0.429669,0.97845,False
GENE1068,508.3131,0.4606,0.429702,0.97845,False
GENE1034,64.1751,-0.6554,0.429982,0.97845,False
GENE1145,90.1621,-0.2767,0.430633,0.97845,False
GENE0845,280.4301,-0.3971,0.431414,0.97845,False
GENE0153,875.5034,-0.3732,0.432703,0.97845,False
GENE0719,23.2079,-1.1719,0.43339,0.97845,False
GENE0501,321.9880,0.7770,0.433688,0.97845,False
GENE0557,3499.8102,0.2810,0.435217,0.97845,False
GENE0700,7408.5079,0.2761,0.435218,0.97845,False
GENE0591,13.5193,-1.0527,0.435535,0.97845,False
GENE0903,1250.4848,-0.6633,0.435597,0.97845,False
GENE1170,229.5339,-0.2651,0.435605,0.97845,False
GENE0206,70.0155,-0.3270,0.437301,0.97845,False
GENE1511,798.1813,0.1509,0.437842,0.97845,False
GENE0823,28.6908,0.4313,0.438019,0.97845,False
GENE0282,651.3219,0.4224,0.438341,0.97845,False
GENE0611,33.1902,-0.8469,0.439251,0.97845,False
GENE1944,216.5920,-0.3286,0.439275,0.97845,False
GENE0435,634.3868,0.3804,0.439909,0.97845,False
GENE0089,109.7285,0.3713,0.440081,0.97845,False
GENE0733,493.2507,0.1442,0.4401,0.97845,False
GENE1717,4460.0847,0.2209,0.440115,0.97845,False
GENE1953,68.9123,-0.3518,0.440605,0.97845,False
GENE0960,1963.2707,-0.3075,0.440717,0.97845,False
GENE1042,3531.5791,-0.4206,0.441342,0.97845,False
GENE0067,43.9491,0.6559,0.442795,0.97845,False
GENE0138,124.1658,0.6820,0.443669,0.97845,False
GENE1443,1019.8252,-0.6872,0.443894,0.97845,False
GENE0831,1027.2146,0.2355,0.444142,0.97845,False
GENE0689,682.6290,0.1710,0.444277,0.97845,False
GENE0398,635.7886,-0.2160,0.444599,0.97845,False
GENE0714,4039.9497,-0.4200,0.446016,0.97845,False
GENE0412,20.8954,-0.7034,0.446338,0.97845,False
GENE0531,141.7097,-0.2958,0.447028,0.97845,False
GENE1527,25.2063,-0.8998,0.447124,0.97845,False
GENE1916,13.4944,1.3264,0.447267,0.97845,False
GENE0091,74.4826,-0.4494,0.447745,0.97845,False
GENE0966,1751.2034,-0.2372,0.44827,0.97845,False
GENE0385,58.3781,-0.6338,0.44875,0.97845,False
GENE0353,65.9458,0.1306,0.448976,0.97845,False
GENE0985,90.2012,-0.5697,0.449844,0.97845,False
GENE1353,403.5200,0.3773,0.450194,0.97845,False
GENE1724,99.8820,-0.4516,0.450333,0.97845,False
GENE0171,719.8970,-0.2175,0.450599,0.97845,False
GENE1754,316.5258,0.2648,0.450734,0.97845,False
GENE1710,209.0960,0.2989,0.450749,0.97845,False
GENE1453,731.8069,0.3509,0.451506,0.97845,False
GENE0724,16.6136,-0.7351,0.452581,0.97845,False
GENE1118,22.3166,-0.6673,0.452734,0.97845,False
GENE0866,43.0098,-1.0122,0.453907,0.97845,False
GENE0625,84.2456,-0.4277,0.454342,0.97845,False
GENE1472,114.1989,0.6718,0.454692,0.97845,False
GENE1884,642.9224,-0.4005,0.455726,0.97845,False
GENE1028,402.8914,-0.3645,0.456171,0.97845,False
GENE0632,269.2799,-0.4575,0.456262,0.97845,False
GENE0502,38.8179,0.3649,0.456682,0.97845,False
GENE0934,368.3625,-0.4319,0.45691,0.97845,False
GENE0730,957.1584,0.2929,0.457456,0.97845,False
GENE1892,558.8762,-0.1920,0.457588,0.97845,False
GENE1378,899.8825,-0.3783,0.457639,0.97845,False
GENE1774,37.6266,-1.0739,0.457739,0.97845,False
GENE0384,293.9690,0.4427,0.458106,0.97845,False
GENE0024,187.7218,0.3655,0.458142,0.97845,False
GENE1352,107.6644,0.7345,0.458183,0.97845,False
GENE1798,1391.4432,0.3400,0.458206,0.97845,False
GENE0022,318.3064,-0.3356,0.458292,0.97845,False
GENE1782,1241.7590,0.3149,0.459115,0.97845,False
GENE0173,29.7324,0.8869,0.459978,0.97845,False
GENE1387,41.7002,0.6455,0.461046,0.97845,False
GENE0872,106.9212,0.6270,0.46219,0.97845,False
GENE1893,191.9328,0.2422,0.462504,0.97845,False
GENE1031,483.0931,-0.2771,0.462546,0.97845,False
GENE0589,84.2274,-0.4342,0.462754,0.97845,False
GENE0838,381.7752,-0.2814,0.463009,0.97845,False
GENE0229,58.3034,0.6961,0.463056,0.97845,False
GENE1350,345.9480,-0.3695,0.463268,0.97845,False
GENE1012,55.7202,-0.7179,0.463281,0.97845,False
GENE1204,245.1197,-0.4986,0.463353,0.97845,False
GENE1415,35.8531,-0.7017,0.463593,0.97845,False
GENE1088,969.3838,0.3386,0.463886,0.97845,False
GENE0515,364.0029,0.2691,0.465325,0.97845,False
GENE0454,156.1403,-0.1810,0.465785,0.97845,False
GENE0875,105.3261,-0.5733,0.466056,0.97845,False
GENE1395,80.8407,-0.5366,0.466225,0.97845,False
GENE1756,516.8810,-0.6754,0.466536,0.97845,False
GENE1166,1132.5493,0.2615,0.469495,0.97845,False
GENE1061,1383.8472,0.2347,0.470353,0.97845,False
GENE0220,530.7850,0.1343,0.470808,0.97845,False
GENE0269,4024.0995,-0.2319,0.470869,0.97845,False
GENE0147,406.1841,0.1910,0.472194,0.97845,False
GENE1777,1491.1940,-0.3823,0.472281,0.97845,False
GENE0331,63.7905,0.6327,0.472445,0.97845,False
GENE0254,18.9964,-0.5163,0.47263,0.97845,False
GENE1134,32464.8032,0.2351,0.474036,0.97845,False
GENE0455,444.7357,-0.3964,0.47525,0.97845,False
GENE0716,55.9679,-0.3991,0.475818,0.97845,False
GENE1447,236.6546,0.3591,0.477546,0.97845,False
GENE1564,68.9116,-0.5644,0.477651,0.97845,False
GENE0732,532.6062,0.2429,0.478196,0.97845,False
GENE1033,38.9338,-0.1093,0.478576,0.97845,False
GENE0309,4920.5652,0.2519,0.478767,0.97845,False
GENE0626,240.2595,-0.2558,0.480716,0.97845,False
GENE1187,305.2126,-0.3385,0.481367,0.97845,False
GENE1445,1889.6496,-0.2749,0.481731,0.97845,False
GENE0498,129.4422,-0.3338,0.48314,0.97845,False
GENE1601,1703.7525,-0.3082,0.483227,0.97845,False
GENE0805,20.5084,0.9338,0.483639,0.97845,False
GENE1473,120.9013,0.4365,0.483646,0.97845,False
GENE1209,11.4650,-0.4907,0.484024,0.97845,False
GENE0532,477.8025,-0.6392,0.484217,0.97845,False
GENE1179,75.0193,0.6349,0.484992,0.97845,False
GENE1896,798.6345,0.2160,0.485724,0.97845,False
GENE0201,706.4986,-0.4339,0.486506,0.97845,False
